node_id	node_id
56	84
56	39
56	9
56	77
56	89
56	61
56	125
56	94
56	64
56	52
56	27
56	112
56	21
56	154
56	31
56	109
56	57
56	59
56	22
56	90
56	68
56	91
56	63
56	85
56	116
56	32
56	143
56	181
56	54
56	69
56	3
56	139
56	104
56	128
56	137
56	172
56	93
56	179
56	132
56	134
56	178
56	144
56	74
56	46
56	11
56	80
56	124
56	135
56	97
56	98
56	79
56	23
56	118
56	167
56	131
56	153
56	33
56	149
56	161
56	127
56	34
56	136
56	169
56	150
56	62
56	26
56	82
56	12
56	47
56	166
56	171
56	6
56	17
56	53
56	117
56	87
56	146
56	49
56	159
56	119
56	170
56	38
56	55
56	30
56	165
56	103
56	155
56	110
56	16
56	44
56	75
56	41
56	29
56	35
56	65
56	19
56	142
56	129
56	37
56	24
56	43
56	5
56	81
56	147
84	31
84	23
84	153
84	127
84	34
84	62
84	47
84	147
39	140
106	9
89	151
61	84
114	49
83	39
83	140
83	37
125	54
64	82
10	108
182	29
140	39
140	83
140	90
45	45
45	108
108	45
108	11
108	72
73	73
73	158
73	66
158	73
107	108
126	18
126	16
126	29
57	22
57	67
57	170
57	165
57	110
57	15
57	65
59	159
59	16
120	140
120	156
156	156
99	94
99	132
99	79
90	140
90	90
63	58
175	175
85	16
111	85
0	58
0	121
141	116
141	48
116	76
54	125
139	18
18	126
172	113
1	80
148	148
148	146
148	159
134	134
144	82
105	144
180	84
180	180
180	47
180	66
60	21
60	16
36	21
36	60
74	22
74	48
46	95
4	164
4	66
4	146
164	146
11	94
11	108
80	66
176	80
28	80
28	146
122	167
163	163
163	58
79	82
23	127
23	147
151	89
151	66
151	152
133	64
133	178
133	82
133	16
173	84
173	96
173	175
173	131
173	55
173	145
173	8
131	84
131	138
131	168
131	100
131	66
168	131
100	131
51	116
161	116
2	8
127	84
127	31
127	23
127	153
127	62
127	171
127	55
127	129
34	84
34	34
34	66
42	93
42	34
7	14
7	34
78	34
78	146
50	68
50	34
50	150
58	163
58	119
58	13
58	102
58	88
67	67
177	84
177	156
177	167
82	64
82	144
82	79
82	133
47	84
47	180
95	157
95	46
95	95
95	66
95	76
66	86
72	108
171	84
171	66
171	113
171	6
171	129
17	29
86	86
53	71
117	146
87	116
159	59
159	150
159	44
119	58
55	116
30	146
30	159
25	84
25	167
145	168
160	116
40	24
13	58
13	13
123	16
44	159
70	147
15	22
15	165
15	16
15	15
15	65
92	15
20	115
20	16
20	15
20	5
174	15
75	116
41	84
41	104
41	118
41	66
162	66
162	29
101	5
29	97
29	17
29	162
102	58
102	66
102	102
88	102
130	24
81	58
