node_id	node_id
63	78
63	92
27	63
27	111
110	12
98	63
98	27
98	244
98	147
98	86
98	163
98	132
98	175
98	19
98	17
98	190
98	102
98	114
98	170
98	243
98	6
98	57
98	67
98	211
98	29
98	33
98	144
98	109
98	96
98	204
98	52
98	59
98	60
98	4
98	131
98	174
98	113
98	82
98	25
98	54
98	138
98	213
98	41
98	177
98	171
98	172
98	125
98	8
98	123
98	145
98	111
98	139
98	137
98	76
98	45
98	238
98	15
98	153
98	32
98	235
98	230
98	237
98	192
98	168
98	173
98	28
98	104
98	124
98	135
98	2
98	68
98	205
98	169
98	229
98	88
98	16
98	157
98	1
98	227
98	154
98	10
98	184
98	22
98	75
98	220
98	216
98	12
98	80
98	146
98	95
98	209
98	94
98	133
98	187
98	55
98	129
98	78
98	189
98	93
98	92
98	182
98	14
98	11
98	47
98	193
98	126
98	37
98	40
98	99
98	130
98	18
98	155
98	35
98	203
98	134
98	56
98	69
98	23
98	167
98	202
98	105
98	183
98	44
98	77
98	13
98	58
98	218
64	57
64	234
64	12
212	75
231	185
231	143
231	75
198	231
198	147
186	147
186	67
186	131
186	160
186	238
186	15
244	138
244	187
147	198
147	67
147	160
147	238
147	151
147	184
86	204
86	52
103	29
103	41
103	51
163	93
175	36
188	128
188	178
188	173
128	188
128	207
128	178
128	173
207	208
207	178
207	173
208	178
208	173
190	204
190	52
176	53
102	85
102	31
48	221
48	211
114	204
114	52
170	243
170	6
170	54
170	35
243	170
6	170
57	204
57	52
211	97
211	115
211	5
29	41
29	126
233	142
144	144
144	12
108	144
118	198
118	37
96	217
96	112
20	170
20	243
20	149
20	35
204	190
204	57
204	97
204	115
204	49
204	66
204	5
97	211
97	45
97	168
0	20
0	28
0	104
0	99
0	200
7	0
7	242
242	170
242	6
242	233
242	109
242	7
242	150
242	194
242	215
242	171
242	38
242	149
242	24
242	249
242	28
242	205
242	148
242	21
242	74
242	167
242	202
217	96
217	217
112	112
4	195
158	229
199	84
199	8
199	145
199	32
53	33
53	216
53	195
89	211
89	216
89	195
89	202
152	57
152	211
152	216
152	12
152	105
34	132
34	104
91	171
91	123
91	145
178	41
178	173
178	122
178	180
241	29
241	41
241	51
113	25
82	25
25	113
25	82
228	25
156	152
156	143
156	172
156	225
156	183
160	67
160	61
160	232
116	20
87	54
87	229
127	54
54	170
54	2
54	159
54	119
54	46
54	165
54	129
150	194
194	150
138	100
106	93
41	29
41	178
245	32
245	168
245	104
240	104
51	241
51	39
70	204
70	52
39	51
215	171
171	215
171	171
172	156
38	145
145	38
224	137
83	20
83	90
90	83
45	97
45	115
45	5
71	204
71	52
141	97
141	115
141	5
153	153
196	32
32	97
32	115
32	5
225	156
49	204
49	52
162	51
192	73
192	112
192	34
192	41
192	125
192	192
192	173
192	140
192	122
192	31
81	97
81	115
81	5
223	89
223	202
168	97
168	115
168	5
201	207
201	8
26	201
173	65
173	26
173	226
173	182
173	122
149	62
24	62
164	37
166	191
249	117
117	249
117	117
28	28
28	104
2	54
68	126
205	169
169	205
169	169
79	132
79	29
79	213
79	68
79	79
79	193
79	126
79	69
148	229
229	148
236	97
236	115
236	5
197	84
197	232
197	209
197	37
197	13
151	37
121	42
121	161
121	120
50	230
50	135
50	85
50	72
50	44
50	31
120	121
120	161
120	157
120	120
154	209
184	156
184	75
21	22
22	21
22	22
210	225
210	183
179	158
75	199
75	156
75	172
75	153
75	184
75	183
75	77
12	12
232	209
66	3
3	204
3	52
146	136
222	20
5	32
101	97
101	115
101	5
140	140
226	41
119	129
46	54
46	119
46	129
165	159
165	129
129	54
129	159
129	119
129	46
129	165
78	87
189	171
189	93
92	163
92	170
92	161
92	93
11	87
11	127
47	11
126	29
126	68
126	69
214	37
37	191
37	214
37	37
122	178
122	41
130	139
130	18
248	132
181	155
155	204
155	52
155	181
246	97
246	115
246	5
35	20
250	35
200	247
180	178
30	204
30	52
74	203
203	74
203	203
69	29
69	41
69	126
167	202
202	167
43	217
183	156
44	178
44	241
44	41
44	9
44	173
44	140
44	182
44	122
44	31
107	217
107	124
107	10
107	183
239	167
206	33
206	171
206	201
58	12
219	63
